StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,I 1 _1,I 2_1,I 2_2,I 2_3,"I 3 ",I 4,I 5_1,I 5_2,I 5_3,I 5_4,I 6,I 7_1,I 7_2,I 7_3,I 7_4,I 7_5,EX 1.2_1,EX 1.3_1,EX 1.3_2,EX 1.3_3,EX 1.3_4,EX 1.3_5,EX 1.3_6,EX 2.2_1,EX 2.3_1,EX 2.3_2,EX 2.3_3,EX 2.3_4,EX 2.3_5,EX 2.3_6,FT 1_1,FT 2_1,FT 3_1,FT 3_2,FT 3_3,FT 3_4,FT 3_5,FT 4_1,FT 4_2,FT 4_3,FT 4_4,FT 5_1,FT 6_1,FT 6_2,FT 6_3,FT 6_4,FT 6_5,ED 2_1,NE 1_1,D 1,D 2,D 3,D 3_4_TEXT,D 4,D 4_3_TEXT,D 5,D 6,Group,Group1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What i wear is a reflection of my identity/personality - Please select answer,What are the three most important attributes when you think of clothing? - Attribute 1,What are the three most important attributes when you think of clothing? - Attribute 2,What are the three most important attributes when you think of clothing? - Attribute 3,How often do you buy a new pair of jeans?,How much money do you spend per year on clothing?,"If you had to distribute 100 points, where would you buy your clothes? - In online shops (Zalando, About You, etc.)","If you had to distribute 100 points, where would you buy your clothes? - In fast fashion stores (Zara, H&M, etc.)","If you had to distribute 100 points, where would you buy your clothes? - In sustainable fashion stores","If you had to distribute 100 points, where would you buy your clothes? - In sustainable online shops",How much do you normally pay for a pair of jeans?,What is most important for you when you buy a pair of jeans? - Style,What is most important for you when you buy a pair of jeans? - Price,What is most important for you when you buy a pair of jeans? - Quality,What is most important for you when you buy a pair of jeans? - Sustainability,What is most important for you when you buy a pair of jeans? - Fair trade,I would pay … € for this pair of jeans. - Price for jeans,"When setting the price for this product, I was influenced by the following factors. - Sustainability","When setting the price for this product, I was influenced by the following factors. - Style","When setting the price for this product, I was influenced by the following factors. - Label","When setting the price for this product, I was influenced by the following factors. - Indispensability","When setting the price for this product, I was influenced by the following factors. - Personal preferences","When setting the price for this product, I was influenced by the following factors. - Working condition",I would pay …. € for this pair of jeans. - Price for jeans,"When setting the price for this product, I was influenced by the following factors. - Sustainability","When setting the price for this product, I was influenced by the following factors. - Style","When setting the price for this product, I was influenced by the following factors. - Label","When setting the price for this product, I was influenced by the following factors. - Indispensability","When setting the price for this product, I was influenced by the following factors. - Personal preferences","When setting the price for this product, I was influenced by the following factors. - Working condition","How familiar are you with the term ""fair trade"" - Please select answer",What percentage of your clothes that you bought in the last 12 months is fair trade? - Percentage of fair trade clothes,"Why do you not buy ""fair trade"" clothes? - I don't like the style","Why do you not buy ""fair trade"" clothes? - Prices are too high","Why do you not buy ""fair trade"" clothes? - I don't trust labels","Why do you not buy ""fair trade"" clothes? - Sustainable clothing is not important for me","Why do you not buy ""fair trade"" clothes? - Quality is not good","I buy ""fair trade"" products because: - I think they are sustainable","I buy ""fair trade"" products because: - I think they have a better Quality","I buy ""fair trade"" products because: - I feel good when buying fair trade products","I buy ""fair trade"" products because: - I think the working conditions during the manufacturing process are better","How many percentage points would you be willing to pay more for a ""fair trade"" jeans compared to a conventional jeans - I would pay ... % more for a fair trade jeans",To what extent do you agree with the following statements? - Buying fair trade products has a positive impact on me and my environment.,To what extent do you agree with the following statements? - Buying fair trade products makes me feel like I am a better person.,To what extent do you agree with the following statements? - Fair trade for clothes is as important as for food.,To what extent do you agree with the following statements? - Fair trade products have a better quality than conventional products.,To what extent do you agree with the following statements? - I always check if there is a fair trade label before buying a product.,"If you think of the next 12 months, how much of your fashion purchases (in percentage) will be on fair trade fashion? - Percentage of fair trade clothes","If you think of the next 12 months, how much of your fashion purchases (in percentage) will be on fair trade fashion? - Percentage of fair trade clothes",Gender,How old are you?,What is your profession? - Selected Choice,What is your profession? - Other - Text,What's your nationality - Selected Choice,What's your nationality - Other - Text,What is your highest school/university degree?,Please state your approximately average net income per month,Group,Group1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID3""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_4""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_6""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID43_5""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_4_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_3_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""Group""}","{""ImportId"":""Group1""}"
2021-11-11 09:33:52,2021-11-11 09:39:29,IP Address,89.144.202.7,100,336,True,2021-11-11 09:39:29,R_3lYYp1Ljtl6ortC,,,,,48.2342071533203125,16.3249969482421875,anonymous,EN,5,,,,Every 6 month,800,50,50,0,0,under 50 €,7 (very important),7 (very important),7 (very important),5,1 (not important),,,,,,,,32,3,1 (not influenced at all),2,3,3,2,5,6,,,,,,5,2,5,4,25,4,6,5,5,1 (strongly disagree,6,,Female,23,Employed,,Austria,,Bachelor's degree,1000-2000,Test Group 2,Education
2021-11-11 09:35:31,2021-11-11 09:41:07,IP Address,213.99.16.51,100,335,True,2021-11-11 09:41:08,R_yvIliNxxiL9ldG9,,,,,48.307403564453125,14.285003662109375,anonymous,EN,5,Easy to handle,Get fast in a shop,Good qualiy,Less than once a year,300,5,5,65,25,50-80 €,4,1 (not important),7 (very important),6,5,76,7 (strongly influenced),4,3,4,6,5,,,,,,,,6,17,,,,,,7 (strongly agree),5,4,6,73,6,6,7 (strongly agree,3,3,,54,Male,52,Employed,,Austria,,Master's degree,more,Test Group 1,No Education
2021-11-11 09:36:41,2021-11-11 09:43:28,IP Address,84.115.233.26,100,406,True,2021-11-11 09:43:28,R_3jZkICq3rbozNp4,,,,,48.15350341796875,16.385498046875,anonymous,EN,5,comfort,"Authenticity ",sustainable,Every 6 month,2000,40,15,5,40,50-80 €,6,3,6,5,3,,,,,,,,35,6,5,6,4,6,3,4,20,,,,,,5,4,6,7 (strongly agree),40,6,7 (strongly agree,6,4,2,30,,Female,22,Employed,,Austria,,Bachelor's degree,1000-2000,Test Group 2,Education
2021-11-11 09:41:56,2021-11-11 09:46:27,IP Address,89.144.221.160,100,270,True,2021-11-11 09:46:27,R_27VfoVDy44gUuB1,,,,,48.2342071533203125,16.3249969482421875,anonymous,EN,5,"versatile ",timeless,pretty,Every 6 month,400,100,0,0,0,under 50 €,4,2,4,3,2,41,5,1 (not influenced at all),7 (strongly influenced),4,1 (not influenced at all),2,,,,,,,,2,20,,,,,,3,5,4,5,40,6,4,7 (strongly agree,7 (strongly agree,1 (strongly disagree,,33,Female,23,Employed,,Germany,,Bachelor's degree,1000-2000,Test Group 1,No Education
2021-11-11 09:37:31,2021-11-11 09:47:14,IP Address,91.114.172.68,100,583,True,2021-11-11 09:47:15,R_3j204eQEPOa4uHQ,,,,,48.307403564453125,14.285003662109375,anonymous,EN,4,Gemütlich,Schön,Gute Material,Less than once a year,800,30,30,20,20,81-100€,6,6,6,6,5,,,,,,,,60,2,5,4,4,3,3,3,2,,,,,,3,3,5,6,10,6,2,7 (strongly agree,5,2,20,,Female,52,Self employed,,Austria,,High school diploma,2000-3000,Test Group 2,Education
2021-11-11 09:43:14,2021-11-11 09:49:37,IP Address,83.57.6.240,100,382,True,2021-11-11 09:49:37,R_3qL7DclzKuJjCCB,,,,,40.4163055419921875,-3.6934051513671875,anonymous,EN,6,outstanding,unique,happiness,Every 6 month,1000,5,50,0,45,under 50 €,7 (very important),5,5,1 (not important),1 (not important),,,,,,,,30,1 (not influenced at all),4,5,4,5,1 (not influenced at all),5,10,,,,,,2,6,5,7 (strongly agree),50,7 (strongly agree,7 (strongly agree,7 (strongly agree,6,2,,10,Female,23,Student,,Austria,,High school diploma,<1000,Test Group 2,No Education
2021-11-11 09:41:08,2021-11-11 09:51:15,IP Address,213.225.36.181,100,607,True,2021-11-11 09:51:16,R_3FX5HixkUpFCygI,,,,,48.204803466796875,16.380096435546875,anonymous,EN,4,fit,comfort,colour,Every 6 month,1000,35,5,5,55,81-100€,7 (very important),5,7 (very important),7 (very important),6,50,7 (strongly influenced),5,7 (strongly influenced),3,5,7 (strongly influenced),,,,,,,,5,70,,,,,,6,5,7 (strongly agree),7 (strongly agree),30,6,7 (strongly agree,7 (strongly agree,6,5,,80,Female,23,Employed,,Austria,,Bachelor's degree,<1000,Test Group 1,No Education
2021-11-11 09:50:45,2021-11-11 09:55:21,IP Address,89.144.211.176,100,276,True,2021-11-11 09:55:22,R_1FrIc5DU1QDpEam,,,,,48.1436004638671875,16.294097900390625,anonymous,EN,4,Clean,Stylish,Comfy,Every 9 month,300,50,50,0,0,50-80 €,7 (very important),3,7 (very important),2,2,,,,,,,,40,2,6,6,4,6,2,6,0,1 (strongly disagree),5,1 (strongly disagree),6,1 (strongly disagree),,,,,48,7 (strongly agree,6,4,3,1 (strongly disagree,2,,Female,23,Employed,,Austria,,Bachelor's degree,2000-3000,Test Group 2,Education
2021-11-11 09:52:41,2021-11-11 09:56:33,IP Address,188.23.89.200,100,231,True,2021-11-11 09:56:33,R_3ISRcrXBohJGs3B,,,,,48.193603515625,16.3726043701171875,anonymous,EN,6,Stylish,Quality,Fit,Every 9 month,900,70,30,0,0,under 50 €,7 (very important),5,7 (very important),3,2,54,5,7 (strongly influenced),5,4,7 (strongly influenced),4,,,,,,,,5,20,,,,,,3,3,6,5,25,5,5,5,5,3,,30,Female,25,Student,,Austria,,Bachelor's degree,<1000,Test Group 1,No Education
2021-11-11 09:56:17,2021-11-11 10:05:57,IP Address,213.225.9.103,100,579,True,2021-11-11 10:05:58,R_6fcStyMA3oAIZAB,,,,,48.204803466796875,16.380096435546875,anonymous,EN,7 (strongly agree),quality,function,style,Every 6 month,1500,50,20,15,15,101-150€,5,3,7 (very important),4,2,50,4,5,6,4,4,4,,,,,,,,5,15,,,,,,7 (strongly agree),5,4,7 (strongly agree),30,5,6,7 (strongly agree,4,1 (strongly disagree,15,,Female,23,Student,,Austria,,High school diploma,1000-2000,Test Group 1,Education
2021-11-11 10:01:17,2021-11-11 10:06:08,IP Address,89.144.211.219,100,290,True,2021-11-11 10:06:08,R_PYUvJKxhRvuPegN,,,,,48.1436004638671875,16.294097900390625,anonymous,EN,5,style,utility,quality,Every 6 month,700,40,40,10,10,under 50 €,6,5,5,4,3,,,,,,,,35,2,6,4,4,5,2,5,15,,,,,,4,4,6,5,40,6,7 (strongly agree,7 (strongly agree,4,2,30,,Female,23,Student,,Austria,,Bachelor's degree,<1000,Test Group 2,Education
2021-11-11 10:02:27,2021-11-11 10:09:03,IP Address,91.114.172.68,100,396,True,2021-11-11 10:09:03,R_2qlytcjCyVFUV1U,,,,,48.307403564453125,14.285003662109375,anonymous,EN,5,Comfortable,Stylish,Diverse,Every 6 month,250,70,20,0,10,50-80 €,7 (very important),3,5,3,2,100,6,2,6,4,2,5,,,,,,,,5,5,,,,,,6,3,7 (strongly agree),7 (strongly agree),25,6,6,6,3,2,,10,Male,18,Student,,Austria,,Compulsory schooling,<1000,Test Group 1,No Education
2021-11-11 09:58:52,2021-11-11 10:09:05,IP Address,217.149.172.19,100,612,True,2021-11-11 10:09:05,R_3eylKXzGXa2xN3x,,,,,48.195098876953125,16.348297119140625,anonymous,EN,4,stylish,must underline my body type,not that pricy,Every 6 month,400,40,45,10,5,under 50 €,7 (very important),5,4,3,2,40,7 (strongly influenced),5,6,4,4,4,,,,,,,,5,10,,,,,,7 (strongly agree),5,7 (strongly agree),6,30,6,6,3,4,1 (strongly disagree,,10,Female,24,Student,,Austria,,Bachelor's degree,<1000,Test Group 1,No Education
2021-11-11 10:04:35,2021-11-11 10:10:44,IP Address,81.10.240.27,100,368,True,2021-11-11 10:10:44,R_p3MfuH2CHEIlR7j,,,,,48.21240234375,14.485595703125,anonymous,EN,5,fair,minimalistic,basic,Every 9 month,500,50,5,15,30,81-100€,7 (very important),2,7 (very important),7 (very important),5,,,,,,,,58,2,2,7 (strongly influenced),5,2,7 (strongly influenced),4,20,,,,,,5,6,7 (strongly agree),7 (strongly agree),51,7 (strongly agree,7 (strongly agree,6,6,3,70,,Female,22,Student,,Austria,,High school diploma,<1000,Test Group 2,Education
2021-11-11 10:03:17,2021-11-11 10:13:14,IP Address,213.205.197.103,100,597,True,2021-11-11 10:13:15,R_2wEsautPPP6hpMV,,,,,52.6923065185546875,-1.822601318359375,anonymous,EN,4,"Comfortable ","Stylish ","Good quality ",Every 9 month,500,0,100,0,0,50-80 €,7 (very important),4,7 (very important),4,7 (very important),,,,,,,,45,4,7 (strongly influenced),7 (strongly influenced),5,6,1 (not influenced at all),6,25,,,,,,4,4,7 (strongly agree),7 (strongly agree),100,7 (strongly agree,7 (strongly agree,7 (strongly agree,7 (strongly agree,4,40,,Female,28,Self employed,,Other,English,Bachelor's degree,3000-4000,Test Group 2,Education
2021-11-11 10:10:34,2021-11-11 10:15:49,IP Address,62.47.167.110,100,314,True,2021-11-11 10:15:49,R_3oH0Pc8r4BbJV3u,,,,,48.2154998779296875,16.3074951171875,anonymous,EN,6,long-lasting,"sustainable ","comfortable ",Every 9 month,600,0,35,45,20,101-150€,5,5,7 (very important),7 (very important),7 (very important),85,7 (strongly influenced),5,4,6,6,7 (strongly influenced),,,,,,,,5,71,,,,,,7 (strongly agree),6,7 (strongly agree),7 (strongly agree),40,6,7 (strongly agree,7 (strongly agree,5,7 (strongly agree,,64,Female,23,Employed,,Austria,,Bachelor's degree,1000-2000,Test Group 1,No Education
2021-11-11 09:45:59,2021-11-11 10:16:36,IP Address,90.146.253.57,100,1837,True,2021-11-11 10:16:37,R_Byvi5lhBz0U6dfb,,,,,48.1858978271484375,14.12139892578125,anonymous,EN,7 (strongly agree),,,,Every 9 month,400,10,40,40,10,50-80 €,7 (very important),4,5,7 (very important),7 (very important),,,,,,,,40,3,3,3,3,3,3,5,50,,,,,,4,4,7 (strongly agree),4,60,5,4,7 (strongly agree,4,4,50,,Female,17,Student,,Austria,,Compulsory schooling,<1000,Test Group 2,Education
2021-11-11 10:14:19,2021-11-11 10:18:01,IP Address,89.144.221.153,100,222,True,2021-11-11 10:18:01,R_1qgoYiXsuR5nlhr,,,,,48.2342071533203125,16.3249969482421875,anonymous,EN,1 (strongly disagree),,,,Every 3 month,1000,80,20,0,0,101-150€,7 (very important),4,6,3,1 (not important),68,5,2,5,4,5,4,,,,,,,,6,0,3,3,3,2,3,,,,,10,5,4,4,4,1 (strongly disagree,,0,Female,23,Student,,Austria,,Bachelor's degree,2000-3000,Test Group 1,No Education
2021-11-11 10:12:40,2021-11-11 10:18:37,IP Address,213.225.38.94,100,357,True,2021-11-11 10:18:38,R_1r7TGDYcHGy7stn,,,,,48.301605224609375,16.343597412109375,anonymous,EN,5,,,,Every 6 month,2000,50,50,0,0,under 50 €,4,6,4,4,3,,,,,,,,40,4,5,5,4,4,2,2,3,,,,,,2,4,5,6,30,4,5,5,5,2,,20,Male,26,Employed,,Austria,,Compulsory schooling,2000-3000,Test Group 2,No Education
2021-11-11 10:18:14,2021-11-11 10:26:45,IP Address,213.142.97.50,100,511,True,2021-11-11 10:26:46,R_31FcAskN3UypKf3,,,,,48.15350341796875,16.385498046875,anonymous,EN,7 (strongly agree),Schick,"Bequem ","Qualität ",Less than once a year,400,10,0,90,0,50-80 €,4,4,6,5,5,79,6,6,6,5,5,4,,,,,,,,5,20,,,,,,4,4,5,6,73,5,5,3,3,3,,40,Female,53,Self employed,,Austria,,Compulsory schooling,1000-2000,Test Group 1,No Education
2021-11-11 10:20:24,2021-11-11 10:27:08,IP Address,91.141.59.75,100,403,True,2021-11-11 10:27:08,R_25TnxiKhbOufgMg,,,,,48.2169952392578125,16.3943939208984375,anonymous,EN,6,Style,Quality,Price,Every 6 month,500,40,20,20,20,50-80 €,6,5,7 (very important),3,1 (not important),40,7 (strongly influenced),5,5,5,6,4,,,,,,,,6,0,2,6,2,4,2,,,,,20,5,5,6,3,1 (strongly disagree,5,,Female,19,Student,,Austria,,High school diploma,<1000,Test Group 1,Education
2021-11-11 10:19:38,2021-11-11 10:27:10,IP Address,81.10.224.179,100,452,True,2021-11-11 10:27:11,R_ph4vod46PeVOWiJ,,,,,48.1858978271484375,14.12139892578125,anonymous,EN,6,,,,Every 3 month,1000,0,70,30,0,under 50 €,5,7 (very important),4,5,2,,,,,,,,34,1 (not influenced at all),4,5,2,4,5,4,20,,,,,,4,4,6,7 (strongly agree),55,7 (strongly agree,6,7 (strongly agree,6,2,50,,Female,15,Student,,Austria,,Compulsory schooling,<1000,Test Group 2,Education
